name,group
Adam Hadwin 43,3
Adam Scott 60,4
Alex Noren 15,2
Angel Cabrera 1114,4
Austin Cook 111,4
Bernd Wiesberger 57,4
Bernhard Langer 1929,4
Billy Horschel 85,4
Branden Grace 33,3
Brendan Steele 40,3
Brian Harman 23,2
Bryson DeChambeau 63,4
Bubba Watson 19,2
Cameron Smith 45,3
Charl Schwartzel 58,4
Charley Hoffman 28,3
Chez Reavie 47,3
Daniel Berger 37,3
Danny Willett 296,4
Doc Redman 1956,4
Doug Ghim 1956,4
Dustin Johnson 1,1
Dylan Frittelli 50,3
Francesco Molinari 27,3
Fred Couples 947,4
Gary Woodland 32,3
Haotong Li 42,3
Harry Ellis 1956,4
Henrik Stenson 14,2
Hideki Matsuyama 6,1
Ian Poulter 29,3
Ian Woosnam 1956,4
Jason Day 11,2
Jason Dufner 49,3
Jhonattan Vegas 54,4
Jimmy Walker 97,4
Joaquin Niemann 1524,4
Jon Rahm 3,1
Jordan Spieth 4,1
Jose Maria Olazabal 1956,4
Justin Rose 5,1
Justin Thomas 2,1
Kevin Chappell 39,3
Kevin Kisner 25,2
Kiradech Aphibarnrat 30,3
Kyle Stanley 44,3
Larry Mize 1382,4
Lin Yuxin 1267,4
Louis Oosthuizen 31,3
Marc Leishman 16,2
Mark O'Meara 1844,4
Martin Kaymer 90,4
Matthew Fitzpatrick 38,3
Matt Kuchar 20,2
Matt Parziale 1956,4
Mike Weir 1264,4
Pat Perez 21,2
Patrick Cantlay 35,3
Patrick Reed 24,2
Patton Kizzire 52,4
Paul Casey 13,2
Phil Mickelson 18,2
Rafa Cabrera Bello 22,2
Rickie Fowler 8,1
Rory McIlroy 7,1
Ross Fisher 36,3
Russell Henley 53,4
Ryan Moore 66,4
Sandy Lyle 1956,4
Satoshi Kodaira 48,3
Sergio Garcia 9,1
Shubanhkar Sharma 72,4
Si Woo Kim 51,4
"Ted Potter, Jr. 80",4
Thomas Pieters 46,3
Tiger Woods 103,4
Tommy Fleetwood 12,2
Tony Finau 34,3
Trevor Immelman 1242,4
Tyrrell Hatton 17,2
Vijay Singh 518,4
Webb Simpson 41,3
Wesley Bryan 92,4
Xander Schauffele 26,3
Yusaku Miyazato 59,4
Yuta Ikdea 55,4
Zach Johnson 56,4
