"First","Last","group"
"Xander","Schauffele",1
"Tony","Finau",2
"Alexander","Noren",3
"Rafael","Cabrera-Bello",3
"Matt","Wallace",3
"Hao-Tong","Li",3
"Eddie","Pepperell",3
"Lucas","Bjerregaard",3
"Justin","Harding",3
"Keith","Mitchell",4
"Satoshi","Kodaira",4
"Aaron","Wise",4
"Shugo","Imahira",4
"Patton","Kizzire",4
"Kevin","Tway",4
"Adam","Long",4
"Andrew","Landry",4
"Devon","Bling",4
"Kevin","OConnell",4
"Alvaro","Ortiz",4
"Takumi","Kanaya",4
"Viktor","Hovland",4
"Michael","Kim",4
"Mark","OMeara",4
"Jovan","Rebula",4
